Age,Gender,Academic_Level,Primary_Platform,Daily_Usage_Hours,Weekend_Extra_Hours,Device_Type,Sleep_Duration_Hours,Sleep_Quality_Score,Late_Night_Usage,Social_Comparison_Frequency,Perceived_Stress_Score,Mental_Health_Index,Academic_Performance_GPA,Overall_Impact
19,0,2,3,7.5,1.5,1,5.9,2,1,4,20.0,73,2.73,1
19,0,2,0,4.6,1.3,1,7.9,3,1,2,17.0,90,3.21,2
17,0,0,4,10.9,1.7,1,5.2,1,1,3,18.0,70,3.0,1
16,0,0,6,6.0,2.3,2,7.6,4,1,2,15.0,82,3.42,2
17,1,0,1,3.3,2.6,1,7.6,4,1,0,16.0,84,3.41,2
16,1,0,4,6.2,1.6,1,5.9,1,0,1,10.0,66,3.21,2
20,1,2,4,5.6,1.8,1,8.3,3,0,2,10.0,88,3.72,2
19,0,2,4,1.2,2.4,1,8.1,5,0,4,6.0,95,3.37,2
18,0,2,6,3.3,1.8,1,6.4,2,0,3,23.0,88,3.59,2
18,0,2,2,4.7,1.7,1,7.9,2,0,3,6.0,96,3.66,2
15,0,0,4,4.4,1.9,1,5.8,2,0,3,11.0,83,3.22,2
20,1,2,1,7.8,1.4,1,7.2,2,1,2,17.0,76,3.08,2
19,0,2,4,9.5,0.9,1,5.3,1,1,4,27.0,68,3.14,1
23,2,2,0,1.9,1.2,1,8.9,5,0,2,3.0,95,3.86,2
19,1,2,6,6.6,2.3,2,5.7,3,0,2,17.0,64,2.98,1
19,0,2,0,2.6,1.2,1,7.3,4,0,1,11.0,85,3.57,2
18,1,2,5,2.3,1.8,2,6.4,2,1,2,17.0,84,3.64,2
17,1,0,6,7.2,1.7,1,6.4,2,0,3,12.0,75,3.52,2
19,0,2,0,4.7,1.5,1,6.5,3,0,4,8.0,88,3.47,2
20,0,2,2,4.7,2.3,1,6.9,2,0,2,20.0,82,3.7,2
17,1,0,0,3.5,1.1,1,7.9,3,0,3,2.0,94,3.75,2
16,0,0,0,2.4,2.5,1,7.4,3,1,4,1.0,98,4.0,2
23,1,1,6,7.4,1.3,0,6.3,2,1,2,10.0,68,2.82,2
17,0,0,0,11.2,1.7,1,5.2,2,1,2,22.0,54,2.69,1
18,0,2,6,3.4,1.7,1,8.2,4,0,3,8.0,90,4.0,2
20,0,2,0,3.0,2.0,1,8.8,4,0,2,2.0,94,3.5,2
20,0,2,0,4.3,1.4,1,8.1,3,0,3,2.0,95,3.37,2
19,1,2,3,4.7,2.4,0,8.4,3,1,3,5.0,93,3.81,2
18,0,2,0,3.6,1.8,1,7.5,3,0,1,12.0,94,3.35,2
18,1,2,6,3.8,1.4,1,7.1,2,1,1,14.0,91,3.52,2
18,1,2,6,3.6,2.9,1,6.7,3,1,1,4.0,89,3.76,2
20,1,2,5,8.3,1.8,1,5.6,1,1,1,22.0,64,3.35,1
17,0,0,2,3.4,0.7,1,6.6,2,1,1,4.0,92,3.83,2
18,0,2,6,1.1,1.4,1,7.3,3,0,1,4.0,95,3.73,2
21,0,2,1,4.7,1.1,1,6.8,3,0,2,13.0,84,3.41,2
18,1,2,6,4.8,1.4,1,6.4,2,0,1,12.0,75,3.69,2
20,1,2,6,2.0,1.5,1,7.5,5,0,2,9.0,92,4.0,2
20,1,2,4,7.1,1.4,1,6.2,2,1,1,17.0,65,3.39,2
18,0,2,4,8.0,1.5,1,5.5,1,1,2,21.0,66,2.59,1
17,1,0,4,3.3,1.7,0,6.0,1,0,3,15.0,87,3.46,2
18,1,2,4,5.8,0.8,0,5.7,2,1,1,14.0,79,3.34,2
16,0,0,4,4.3,1.0,1,6.8,4,0,2,17.0,81,3.62,2
19,1,2,6,3.9,1.4,1,6.9,2,0,3,7.0,90,3.44,2
20,1,2,0,8.3,2.2,1,6.3,1,1,2,13.0,76,3.21,2
21,0,2,0,7.6,1.6,1,5.9,1,1,1,25.0,70,3.46,1
17,1,0,4,4.3,2.7,1,5.4,2,0,2,17.0,80,3.45,2
19,0,2,6,4.0,1.7,1,6.5,2,1,4,13.0,78,3.28,2
21,1,2,2,3.5,2.6,1,6.6,3,1,4,10.0,94,4.0,2
17,0,0,0,4.1,1.6,1,5.8,2,1,3,8.0,86,3.11,2
21,0,2,4,5.9,2.9,1,6.5,2,0,2,10.0,69,2.89,2
15,0,0,4,8.6,1.0,1,6.4,1,1,1,11.0,66,3.38,2
